,Name,Year_of_Birth,Most_Common_Pronoun
379,Andjar Asmara,1902.0,Male Pronouns
380,James T. Aubrey,1918.0,Male Pronouns
381,Kroger Babb,1906.0,Male Pronouns
382,Vidya Balan,1979.0,Female Pronouns
383,Eric Bana,2001.0,Male Pronouns
384,Joseph Barbera,1911.0,Male Pronouns
385,John Barrymore,1882.0,Male Pronouns
386,Harriet Bosse,1907.0,Female Pronouns
387,Rudolph Cartier,1904.0,Male Pronouns
388,Nancy Cartwright,1978.0,Female Pronouns
389,Charlie Chaplin,1889.0,Male Pronouns
390,Jessica Chastain,1977.0,Female Pronouns
391,Priyanka Chopra,1982.0,Female Pronouns
392,Bradley Cooper,1975.0,Male Pronouns
393,Gary Cooper,1901.0,Male Pronouns
394,Russell T Davies,2005.0,Male Pronouns
395,Walt Disney,1901.0,Male Pronouns
396,D. Djajakusuma,1918.0,Male Pronouns
397,Steve Dodd,1928.0,Male Pronouns
398,Kirsten Dunst,1982.0,Female Pronouns
399,George Formby,1904.0,Male Pronouns
400,George Formby Sr,1919.0,Male Pronouns
401,John Gielgud,1959.0,Male Pronouns
402,Jake Gyllenhaal,1980.0,Male Pronouns
403,Maggie Gyllenhaal,2002.0,Female Pronouns
404,William Hanna,1910.0,Plural or Non-binary Pronouns
405,Phil Hartman,1948.0,Male Pronouns
406,Anne Hathaway,1982.0,Female Pronouns
407,Ethan Hawke,1985.0,Male Pronouns
408,Katharine Hepburn,1907.0,Female Pronouns
409,Philip Seymour Hoffman,1967.0,Male Pronouns
410,Michael Hordern,1970.0,Male Pronouns
411,Kenneth Horne,1907.0,Male Pronouns
412,Nicholas Hoult,1989.0,Male Pronouns
413,Josh Hutcherson,1992.0,Male Pronouns
414,Satoru Iwata,1959.0,Male Pronouns
415,Hattie Jacques,1922.0,Female Pronouns
416,Peter Jennings,1938.0,Male Pronouns
417,Scarlett Johansson,1984.0,Female Pronouns
418,Angelina Jolie,1997.0,Female Pronouns
419,Kareena Kapoor,1980.0,Female Pronouns
420,Sonam Kapoor,1985.0,Female Pronouns
421,Shah Rukh Khan,1992.0,Male Pronouns
422,Kalki Koechlin,1984.0,Female Pronouns
423,Brie Larson,100.0,Female Pronouns
424,Jennifer Lawrence,1990.0,Female Pronouns
425,Vivien Leigh,1913.0,Female Pronouns
426,Jacobus Anthonie Meessen,1836.0,Male Pronouns
427,Marilyn Monroe,1926.0,Female Pronouns
428,Julianne Moore,1960.0,Female Pronouns
429,Rani Mukerji,1978.0,Female Pronouns
430,Cillian Murphy,1976.0,Male Pronouns
431,James Nesbitt,1965.0,Male Pronouns
432,Sydney Newman,1917.0,Male Pronouns
433,Deepika Padukone,1986.0,Female Pronouns
434,Freida Pinto,1984.0,Female Pronouns
435,Brad Pitt,1963.0,Male Pronouns
436,Kangana Ranaut,1987.0,Female Pronouns
437,Satyajit Ray,1921.0,Male Pronouns
438,Roekiah,1917.0,Female Pronouns
439,Hrithik Roshan,1974.0,Male Pronouns
440,Peter Sellers,1925.0,Male Pronouns
441,Sebastian Shaw (actor),1905.0,Male Pronouns
442,Red Skelton,1913.0,Male Pronouns
443,Aaron Sorkin,2017.0,Male Pronouns
444,Rod Steiger,1959.0,Male Pronouns
445,Emma Stone,1988.0,Female Pronouns
446,Terry-Thomas,1968.0,Male Pronouns
447,Jack L. Warner,1892.0,Male Pronouns
448,Emma Watson,2007.0,Female Pronouns
