,Name,Year_of_Birth,Most_Common_Pronoun
1116,Harold Larwood,1904.0,Male Pronouns
1117,Louis Leblanc,1991.0,Male Pronouns
1118,Faith Leech,1941.0,Female Pronouns
1119,Maurice Leyland,1900.0,Male Pronouns
1120,Trevor Linden,1970.0,Male Pronouns
1121,Ray Lindwall with the Australian cricket team in England in 1948,191.0,Male Pronouns
1122,Sam Loxton,1948.0,Male Pronouns
1123,Sam Loxton with the Australian cricket team in England in 1948,159.0,Male Pronouns
1124,Roberto Luongo,1979.0,Male Pronouns
1125,Charlie Macartney,1886.0,Male Pronouns
1126,George Macaulay,1897.0,Male Pronouns
1127,Archie MacLaren,1871.0,Male Pronouns
1128,Jack Marsh,1874.0,Male Pronouns
1129,Billy Martin,1928.0,Male Pronouns
1130,Jimmy McAleer,1864.0,Male Pronouns
1131,Lanny McDonald,1953.0,Male Pronouns
1132,William McGregor (football),1846.0,Male Pronouns
1133,Ian Meckiff,1935.0,Male Pronouns
1134,Bob Meusel,1896.0,Male Pronouns
1135,Early life of Keith Miller,1919.0,Male Pronouns
1136,Keith Miller in the 1946–47 Australian cricket season,384.0,Male Pronouns
1137,Keith Miller with the Australian cricket team in England in 1948,1948.0,Male Pronouns
1138,Arthur Mold,1863.0,Male Pronouns
1139,Howie Morenz,1902.0,Male Pronouns
1140,Sandra Morgan,1956.0,Female Pronouns
1141,Arthur Morris,1922.0,Male Pronouns
1142,Stan Musial,1920.0,Male Pronouns
1143,Ian O&#39;Brien,1947.0,Male Pronouns
1144,Kevin O&#39;Halloran,1937.0,Male Pronouns
1145,Bill O&#39;Reilly (cricketer),1905.0,Male Pronouns
1146,Lionel Palairet,1870.0,Male Pronouns
1147,Ben Paschal,1895.0,Male Pronouns
1148,Bobby Peel,1857.0,Male Pronouns
1149,Tommy Phillips,1883.0,Male Pronouns
1150,Jacques Plante,1929.0,Male Pronouns
1151,Bill Ponsford,1900.0,Male Pronouns
1152,Alain Prost,1987.0,Male Pronouns
1153,Tom Pryce,1949.0,Male Pronouns
1154,Alf Ramsey,1920.0,Male Pronouns
1155,Milos Raonic,1990.0,Male Pronouns
1156,Stamata Revithi,1866.0,Female Pronouns
1157,Wilfred Rhodes,1877.0,Male Pronouns
1158,J. R. Richard,1950.0,Male Pronouns
1159,Maurice Richard,1921.0,Male Pronouns
1160,Jochen Rindt,1942.0,Male Pronouns
1161,Doug Ring with the Australian cricket team in England in 1948,150.0,Male Pronouns
1162,Mariano Rivera,1969.0,Male Pronouns
1163,Jackie Robinson,1919.0,Male Pronouns
1164,Bobby Robson,1933.0,Male Pronouns
1165,Art Ross,1964.0,Male Pronouns
1166,Bill Russell,1934.0,Male Pronouns
1167,Babe Ruth,1895.0,Male Pronouns
1168,Rex Ryan,1962.0,Male Pronouns
1169,Joe Sakic,1969.0,Male Pronouns
1170,Sigi Schmid,1953.0,Male Pronouns
1171,Daniel Sedin,1980.0,Male Pronouns
1172,Henrik Sedin,1980.0,Male Pronouns
1173,Joel Selwood,1988.0,Male Pronouns
1174,Waisale Serevi,1968.0,Male Pronouns
1175,Gilberto Silva,1976.0,Male Pronouns
1176,Tom Simpson,1937.0,Male Pronouns
1177,Lee Smith (baseball),1957.0,Male Pronouns
1178,Ozzie Smith,1954.0,Male Pronouns
1179,Paul Stastny,1985.0,Male Pronouns
1180,Casey Stengel,1890.0,Male Pronouns
1181,Eduard Streltsov,1937.0,Male Pronouns
1182,Hod Stuart,1879.0,Male Pronouns
1183,Don Tallon,1916.0,Male Pronouns
1184,Bazy Tankersley,1921.0,Female Pronouns
1185,Jim Thome,612.0,Male Pronouns
1186,Tiny Thompson,1903.0,Male Pronouns
1187,Ian Thorpe,1982.0,Male Pronouns
1188,Jim Thorpe,1940.0,Male Pronouns
1189,Billy Joe Tolliver,1966.0,Male Pronouns
1190,Mark Tonelli,1980.0,Male Pronouns
1191,Ernie Toshack,1914.0,Male Pronouns
1192,Ernie Toshack with the Australian cricket team in England in 1948,1948.0,Male Pronouns
1193,Bert Trautmann,1923.0,Male Pronouns
1194,Marcus Trescothick,1975.0,Male Pronouns
1195,Harry Trott,1866.0,Male Pronouns
1196,Hugh Trumble,1867.0,Male Pronouns
1197,Thurman Tucker,1917.0,Male Pronouns
1198,The Turk,1784.0,Male Pronouns
1199,Morihei Ueshiba,1883.0,Male Pronouns
1200,Hedley Verity,1905.0,Male Pronouns
1201,Georges Vézina,1887.0,Male Pronouns
1202,Abe Waddington,1893.0,Male Pronouns
1203,Joe Warbrick,1862.0,Male Pronouns
1204,John Wark,1957.0,Male Pronouns
1205,Tyrone Wheatley,1972.0,Male Pronouns
1206,Bob Windle,1944.0,Male Pronouns
1207,Fanny Bullock Workman,1859.0,Plural or Non-binary Pronouns
1208,William Wurtenburg,1863.0,Male Pronouns
1209,Yao Ming,1980.0,Male Pronouns
1210,Scott Zolak,1967.0,Male Pronouns
1211,Sophie Blanchard,1859.0,Female Pronouns
1212,Lester Brain,1903.0,Male Pronouns
1213,Fairfax Harrison,1869.0,Male Pronouns
1214,Frank Pick,1878.0,Male Pronouns
1215,"Albert Stanley, 1st Baron Ashfield",1874.0,Male Pronouns
1216,Vesna Vulović,1950.0,Female Pronouns
1217,Ba Cụt,1923.0,Male Pronouns
1218,Ivan Bagramyan,1897.0,Male Pronouns
1219,Thomas Baker (aviator),1897.0,Male Pronouns
1220,Albert Ball,1896.0,Male Pronouns
1221,John Balmer,1910.0,Male Pronouns
1222,Nicky Barr,1915.0,Male Pronouns
1223,Cyril Bassett,1892.0,Male Pronouns
1224,Prince Louis of Battenberg,1854.0,Male Pronouns
1225,Otto Becher,1908.0,Male Pronouns
1226,Mary Bell (aviator),1903.0,Female Pronouns
1227,Gottlob Berger,1896.0,Male Pronouns
1228,Frank Berryman,1894.0,Male Pronouns
1229,Frank Bladin,1898.0,Male Pronouns
1230,Thomas Blamey,1884.0,Male Pronouns
1231,John F. Bolt,1921.0,Male Pronouns
1232,William Bostock,1892.0,Male Pronouns
1233,Juan Davis Bradburn,1787.0,Male Pronouns
1234,William Brill (RAAF officer),1916.0,Male Pronouns
1235,Jesse L. Brown,1926.0,Male Pronouns
1236,Raymond Brownell,1894.0,Male Pronouns
1237,Henry Burrell (admiral),1904.0,Male Pronouns
1238,James Wood Bush,1844.0,Male Pronouns
1239,Vannevar Bush,1890.0,Male Pronouns
1240,Roger B. Chaffee,1935.0,Male Pronouns
1241,Harry Chauvel,1865.0,Male Pronouns
1242,Dudley Clarke,1899.0,Male Pronouns
1243,Harry Cobby,1894.0,Male Pronouns
1244,Adrian Cole (RAAF officer),1895.0,Male Pronouns
1245,Dick Cresswell,1920.0,Male Pronouns
1246,Thomas Crisp,1876.0,Male Pronouns
1247,"Andrew Cunningham, 1st Viscount Cunningham of Hyndhope",1883.0,Male Pronouns
1248,"Luís Alves de Lima e Silva, Duke of Caxias",1803.0,Male Pronouns
1249,Roderic Dallas,1891.0,Male Pronouns
1250,Richard Dannatt,2006.0,Male Pronouns
1251,Phillip Davey,1896.0,Male Pronouns
1252,George Andrew Davis Jr.,1920.0,Male Pronouns
1253,Tom Derrick,1914.0,Male Pronouns
1254,Hermann Detzner,1882.0,Male Pronouns
1255,Theodore Komnenos Doukas,1224.0,Male Pronouns
1256,Roy Dowling,1901.0,Male Pronouns
1257,Peter Drummond (RAF officer),1894.0,Male Pronouns
1258,Vance Drummond,1927.0,Male Pronouns
1259,Pavle Đurišić,1909.0,Male Pronouns
1260,Brian Eaton,1916.0,Male Pronouns
1261,Charles Eaton (RAAF officer),1895.0,Male Pronouns
1262,David Evans (RAAF officer),1925.0,Male Pronouns
1263,Neil Hamilton Fairley,1891.0,Male Pronouns
1264,Karl Aloys zu Fürstenberg,1760.0,Male Pronouns
1265,Ragnar Garrett,1900.0,Male Pronouns
1266,Bobby Gibbes,1916.0,Male Pronouns
1267,John Glenn,1921.0,Male Pronouns
1268,Stanley Goble,1891.0,Male Pronouns
1269,Ulysses S. Grant,1868.0,Male Pronouns
1270,Leslie Groves,1896.0,Male Pronouns
1271,Valston Hancock,1907.0,Male Pronouns
1272,Winfield Scott Hancock,1824.0,Male Pronouns
1273,Colin Hannah,1914.0,Male Pronouns
1274,Donald Hardman,1899.0,Male Pronouns
1275,Francis Harvey,1873.0,Male Pronouns
1276,Frank Headlam,1914.0,Male Pronouns
1277,William Hely,1909.0,Male Pronouns
1278,Edmund Herring,1892.0,Male Pronouns
1279,Joe Hewitt (RAAF officer),1901.0,Male Pronouns
1280,Peter Heywood,1772.0,Male Pronouns
1281,Hispanic Americans in World War II,0.0,Male Pronouns
1282,James Hogun,1770.0,Male Pronouns
1283,Les Holden,1895.0,Male Pronouns
1284,Brian Horrocks,1895.0,Male Pronouns
1285,Robert Howe (Continental Army officer),1732.0,Male Pronouns
1286,Cedric Howell,1896.0,Male Pronouns
1287,Thomas J. Hudner Jr.,1924.0,Male Pronouns
1288,Paterson Clarence Hughes,1917.0,Male Pronouns
1289,Caesar Hull,1914.0,Male Pronouns
1290,"Joaquim José Inácio, Viscount of Inhaúma",1808.0,Male Pronouns
1291,Roy Inwood,1890.0,Male Pronouns
1292,"Hastings Ismay, 1st Baron Ismay",1887.0,Male Pronouns
1293,John Francis Jackson,1908.0,Male Pronouns
1294,Mike Jackson (British Army officer),1982.0,Male Pronouns
1295,Peter Jeffrey (RAAF officer),1913.0,Male Pronouns
1296,Jørgen Jensen (soldier),1891.0,Male Pronouns
1297,Dobroslav Jevđević,1895.0,Male Pronouns
1298,George Jones (RAAF officer),1896.0,Male Pronouns
1299,J. R. Kealoha,1877.0,Male Pronouns
1300,Albert Kesselring,1918.0,Male Pronouns
1301,Hasan al-Kharrat,1925.0,Male Pronouns
1302,Elwyn Roy King,1894.0,Male Pronouns
1303,Bruce Kingsbury,1918.0,Male Pronouns
1304,Thomas C. Kinkaid,1888.0,Male Pronouns
1305,Tadeusz Kościuszko,1746.0,Male Pronouns
1306,Walter Krueger,1881.0,Male Pronouns
1307,"Gilbert du Motier, Marquis de Lafayette",1757.0,Male Pronouns
1308,Raymond Leane,1878.0,Male Pronouns
1309,Lê Quang Tung,1919.0,Male Pronouns
1310,Helmut Lent,1918.0,Male Pronouns
1311,John Lerew,1912.0,Male Pronouns
1312,Ernst Lindemann,1894.0,Male Pronouns
1313,Carl Hans Lody,1877.0,Male Pronouns
1314,Douglas MacArthur,1880.0,Male Pronouns
1315,Iven Mackay,1882.0,Male Pronouns
1316,Garnet Malley,1892.0,Male Pronouns
1317,"Manuel Marques de Sousa, Count of Porto Alegre",1804.0,Male Pronouns
1318,Murray Maxwell,1775.0,Male Pronouns
1319,Bill McCann,1892.0,Male Pronouns
1320,John McCauley,1899.0,Male Pronouns
1321,James Whiteside McCay,1864.0,Male Pronouns
1322,George B. McClellan,1826.0,Male Pronouns
1323,Ian Dougald McLachlan,1911.0,Male Pronouns
1324,Lesley J. McNair,1883.0,Male Pronouns
1325,Frank McNamara (RAAF officer),1894.0,Male Pronouns
1326,Alan McNicoll,1908.0,Male Pronouns
1327,August Meyszner,1886.0,Male Pronouns
1328,James Moore (Continental Army officer),1737.0,Male Pronouns
1329,Fred Moosally,1944.0,Male Pronouns
1330,Emanuel Moravec,1893.0,Male Pronouns
1331,Douglas Albert Munro,1919.0,Male Pronouns
1332,Alister Murdoch,1912.0,Male Pronouns
1333,Audie Murphy,1925.0,Male Pronouns
1334,Harry Murray,1880.0,Male Pronouns
1335,James Newland,1881.0,Male Pronouns
1336,Bill Newton,1919.0,Male Pronouns
1337,William Sterling Parsons,1901.0,Male Pronouns
1338,George S. Patton,1885.0,Male Pronouns
1339,Kosta Pećanac,1944.0,Male Pronouns
1340,Walter Peeler,1887.0,Male Pronouns
1341,Jerry Pentland,1894.0,Male Pronouns
1342,Henry Petre,1884.0,Male Pronouns
1343,Milorad Petrović,1882.0,Male Pronouns
1344,Roy Phillipps,1892.0,Male Pronouns
1345,Artur Phleps,1881.0,Male Pronouns
1346,Reg Pollard (general),1903.0,Male Pronouns
1347,Phạm Ngọc Thảo,1964.0,Male Pronouns
1348,Henry Hoʻolulu Pitman,1845.0,Male Pronouns
1349,John Plagis,1974.0,Male Pronouns
1350,Edwin Taylor Pollock,1870.0,Male Pronouns
1351,Lazare Ponticelli,2017.0,Male Pronouns
1352,Arthur W. Radford,1896.0,Male Pronouns
1353,Prince Romerson,1840.0,Male Pronouns
1354,James Rowland (RAAF officer),1922.0,Male Pronouns
1355,Reg Saunders,1920.0,Male Pronouns
1356,Stanley Savige,1890.0,Male Pronouns
1357,Frederick Scherger,1904.0,Male Pronouns
1358,Uriel Sebree,1848.0,Male Pronouns
1359,Friedrich Wilhelm von Seydlitz,1721.0,Male Pronouns
1360,Kenneth R. Shadrick,1931.0,Male Pronouns
1361,Alan Shepard,1923.0,Male Pronouns
1362,William Tecumseh Sherman,1820.0,Male Pronouns
1363,Alfred Shout,1882.0,Male Pronouns
1364,Military service of Ian Smith,237.0,Male Pronouns
1365,Issy Smith,1890.0,Male Pronouns
1366,Oerip Soemohardjo,1893.0,Male Pronouns
1367,Lou Spence,1917.0,Male Pronouns
1368,Myles Standish,1584.0,Male Pronouns
1369,Clare Stevenson,1903.0,Female Pronouns
1370,Ronald Stuart,1886.0,Male Pronouns
1371,Vernon Sturdee,1890.0,Male Pronouns
1372,Sudirman,1950.0,Male Pronouns
1373,Jethro Sumner,1733.0,Male Pronouns
1374,Paul Palaiologos Tagaris,1340.0,Male Pronouns
1375,Paul Nobuo Tatsuguchi,1888.0,Male Pronouns
1376,Thrasybulus,440.0,Male Pronouns
1377,Paul Tibbets,1915.0,Male Pronouns
1378,Benjamin Franklin Tilley,1848.0,Male Pronouns
1379,Tôn Thất Đính,1926.0,Male Pronouns
1380,Edgar Towner,1890.0,Male Pronouns
1381,Johann von Klenau,1758.0,Male Pronouns
1382,Ellis Wackett,1901.0,Male Pronouns
1383,John Lloyd Waddy,1916.0,Male Pronouns
1384,Kenneth Walker,1898.0,Male Pronouns
1385,Hector Waller,1900.0,Male Pronouns
1386,Allan Walters,1905.0,Male Pronouns
1387,Blair Wark,1894.0,Male Pronouns
1388,Oswald Watt,1878.0,Male Pronouns
1389,Lawrence Weathers,1890.0,Male Pronouns
1390,Stanley Price Weir,1866.0,Male Pronouns
1391,Henry Wells (general),1898.0,Male Pronouns
1392,John Whittle,1882.0,Male Pronouns
1393,Maurice Wilder-Neligan,1882.0,Male Pronouns
1394,Richard Williams (RAAF officer),1890.0,Male Pronouns
1395,John Wilton (general),1910.0,Male Pronouns
1396,James Park Woods,1886.0,Male Pronouns
1397,Henry Wrigley,1892.0,Male Pronouns
